from_level,attempt_cost,expected_attempts,expected_gold,expected_materials
0,10,1.084,10.84,
1,20,1.0955,21.91,
2,30,1.085,32.55,
3,40,1.0955,43.82,
4,50,1.09,54.5,
5,106,1.2955,137.323,
6,164,1.292,211.888,
7,221,1.2845,283.8745,
8,323,1.625,524.875,
9,433,1.595,690.635,
10,578,1.578,912.084,
11,958,2.065,1978.27,
12,1610,2.0415,3286.815,
13,2410,2.0735,4997.135,
14,4250,2.505,10646.25,
15,8140,2.5425,20695.95,
16,14900,2.574,38352.6,
17,33700,3.475,117107.5,
18,89300,3.467,309603.1,
19,235000,5.0605,969939,enhanceStone 28.4
20,766000,7.0445,4304023.55,enhanceStone 59.1
21,3480000,7.821,19303037.2,enhanceStone 81.6
22,15900000,12.0595,93386413.345,enhanceStone 55.4 highEnhanceStone 52.0
23,84200000,17.6845,704847690.19,enhanceStone 51.7 highEnhanceStone 127.2
24,624000000,22.846,5318250821.355,enhanceStone 51.3 highEnhanceStone 207.1
