stage,profile,before_power,before_share,after_power,after_share,after_avg_level
125,casual,0.15153025936599424,0.0673608451075921,0.15153025936599424,0.0673608451075921,97
125,normal,0.4350806916426513,0.0997186901622138,0.43369740634005766,0.09943317152392239,115.6
125,top,0.4628789625360231,0.10541829243880596,0.4628789625360231,0.10541829243880585,113.2
250,casual,0.1535014409221902,0.06817736739236446,0.15472150931373815,0.06868204022292668,147
250,normal,0.4584841498559078,0.10452201220673929,0.4732411466600394,0.10752447568549306,237.8
250,top,0.49740057636887614,0.11239673511702808,0.5129854523342641,0.11551162638117374,234.6
500,casual,0.1535014409221902,0.06817736739236446,0.15602711341618253,0.0692214891682068,247
500,normal,0.4584841498559078,0.10452201220673929,0.48994210855359954,0.11089826360671873,487.8
500,top,0.49740057636887614,0.11239673511702797,0.5313232358330207,0.11914885011329912,484.6
1000,casual,0.1535014409221902,0.06817736739236446,0.15731822191399425,0.06975433461468905,447
1000,normal,0.4584841498559078,0.10452201220673929,0.5063092172430446,0.11417995282652704,987.8
1000,top,0.49740057636887614,0.11239673511702797,0.5491839677893989,0.12266281031568993,984.6
2000,casual,0.1535014409221902,0.06817736739236457,0.1586003577910796,0.07028287363489061,846.2
2000,normal,0.4584841498559078,0.10452201220673929,0.7164972799301086,0.15426799430505655,1986.6
2000,top,0.49740057636887614,0.11239673511702808,0.5668158098113099,0.12610434638368517,1984.6
3000,casual,0.1535014409221902,0.06817736739236457,0.2751204247073105,0.040667483715814856,2982.4
3000,normal,0.4584841498559078,0.10452201220673929,0.7294883813578503,0.10104433206673391,2987.2
3000,top,0.6846858789625361,0.09543078129317939,0.7943324437819801,0.16820765018945205,2984
