stage,profile,before,after,after_vs_stage100
100,casual,273.7549688760951,264.74818785982984,1
100,normal,654.249526049969,466.17207115117094,1
100,top,351.12509671058933,377.2699973849405,1
250,casual,674930989044.0162,276.6697863645462,1.0450299531833933
250,normal,1542676303941.5935,490.7376535183226,1.0526963837762504
250,top,862014921821.0471,513.5746236097989,1.3612919849700704
500,casual,2.9837018667361665e+27,276.669786364546,1.0450299531833924
500,normal,6.819787863585564e+27,490.7376535183222,1.0526963837762495
500,top,3.8107533557392404e+27,513.5746236097986,1.3612919849700695
1000,casual,5.829631328100268e+58,276.6019802896899,1.044773837833164
1000,normal,1.3327938490942575e+59,490.73765351832213,1.0526963837762495
1000,top,7.447370408783157e+58,513.5746236097988,1.36129198497007
1500,casual,1.2084274132200146e+90,293.3882044773456,1.108178329185313
1500,normal,2.6044000735841387e+90,490.6960931732677,1.0526072314060704
1500,top,1.4552776279600057e+90,513.4116419033652,1.3608599821403637
2000,casual,5.754603889709888e+120,71.46662169215207,0.2699418729543481
2000,normal,3.5042804480266626e+121,300.03087228764616,0.6436054213774461
2000,top,4.88276773988109e+121,330.99941891536844,0.8773542057669623
3000,casual,1.9654410039767365e+183,56.18093344561992,0.21220516710529763
3000,normal,7.724633697996445e+183,245.318846486757,0.526240977673681
3000,top,1.397772517255153e+184,288.3298737473875,0.7642533881463027
