stage,profile,before_h,after_h
10,casual,0.01798855379188713,0.01798855379188713
10,normal,0.011685859788359792,0.011685859788359792
10,top,0.004311316074577979,0.004311316074577979
50,casual,11.095104274305248,11.095060080242623
50,normal,5.396460628041052,6.396215579479142
50,top,1.6171865584211433,1.6173974113139318
100,casual,40.18743718728838,40.18743478476753
100,normal,34.46812996441017,35.134210547489914
100,top,7.334040773881177,7.166821881759265
250,casual,130.46303026795442,130.463014414397
250,normal,124.68399385329974,125.35007443637946
250,top,25.071033729665327,24.820211326203665
500,casual,280.9223296506694,280.92231379711194
500,normal,275.0437670014473,275.70984758452835
500,top,54.49334947040611,54.242527066944376
1000,casual,581.8442429502718,581.8442270967143
1000,normal,575.7633132977446,576.429393880832
1000,top,113.33798095188713,113.0871585484254
2000,casual,1194.6103387715755,1196.5347713101094
2000,normal,1169.5598344514947,1168.566410169268
2000,top,235.47780177399338,241.1522707685994
3000,casual,19896.036254384926,6252.765131430209
3000,normal,3677.343691748863,3009.2793950285018
3000,top,760.7652341652225,1253.2796767535876
rebirth5,casual,40.43582354531307,20.548777739846457
rebirth5,normal,31.73329031886927,12.023043423616416
rebirth5,top,7.946383631905868,4.135771716693863
