profile,stage,play_hours,calendar_days,level,rebirth,weapon_level,weapon_grade,status
casual,10,0.018,0.02,1,0,0,0,ok
normal,10,0.012,0.00,1,0,0,0,ok
top,10,0.004,0.00,1,0,0,0,ok
casual,50,11.095,11.10,74,3,15,3,ok
normal,50,6.396,2.13,77,3,19,3,ok
top,50,1.617,0.13,70,3,19,3,ok
casual,100,40.187,40.19,124,5,15,6,ok
normal,100,35.134,11.71,129,5,20,6,ok
top,100,7.167,0.60,118,5,25,6,ok
casual,250,130.463,130.46,274,5,15,6,ok
normal,250,125.350,41.78,279,5,20,6,ok
top,250,24.820,2.07,268,5,25,6,ok
casual,500,280.922,280.92,524,5,15,6,ok
normal,500,275.710,91.90,529,5,20,6,ok
top,500,54.243,4.52,518,5,25,6,ok
casual,1000,581.844,581.84,1024,5,15,6,ok
normal,1000,576.429,192.14,1029,5,20,6,ok
top,1000,113.087,9.42,1018,5,25,6,ok
casual,2000,1196.598,1196.60,2018,5,15,6,ok
normal,2000,1168.566,389.52,2028,5,20,6,ok
top,2000,241.152,20.10,2019,5,25,6,ok
casual,3000,6280.568,6280.57,3032,5,15,6,ok
normal,3000,3009.279,1003.09,3036,5,20,6,ok
top,3000,1253.280,104.44,3038,5,25,6,ok
casual,4000,,,,,,,none
normal,4000,,,,,,,none
top,4000,,,,,,,none
casual,4738,,,,,,,none
normal,4738,,,,,,,none
top,4738,,,,,,,none
