profile,stage,play_hours,calendar_days,level,rebirth,weapon_level,weapon_grade,status
casual,10,0.018,0.02,1,0,0,0,ok
normal,10,0.012,0.00,1,0,0,0,ok
top,10,0.004,0.00,1,0,0,0,ok
casual,50,11.095,11.10,60,3,15,3,ok
normal,50,5.396,1.80,69,3,19,3,ok
top,50,1.617,0.13,73,2,19,2,ok
casual,100,40.188,40.19,124,4,15,4,ok
normal,100,34.468,11.49,124,5,20,6,ok
top,100,7.334,0.61,119,4,25,4,ok
casual,250,130.463,130.46,274,5,15,6,ok
normal,250,124.684,41.56,279,5,20,6,ok
top,250,25.071,2.09,269,5,25,6,ok
casual,500,280.922,280.92,524,5,15,6,ok
normal,500,275.044,91.68,529,5,20,6,ok
top,500,54.494,4.54,519,5,25,6,ok
casual,1000,581.844,581.84,1024,5,15,6,ok
normal,1000,575.763,191.92,1029,5,20,6,ok
top,1000,113.338,9.44,1019,5,25,6,ok
casual,2000,1194.610,1194.61,2018,5,15,6,ok
normal,2000,1169.560,389.85,2026,5,20,6,ok
top,2000,235.478,19.62,2021,5,25,6,ok
casual,3000,19896.036,19896.04,3048,5,15,6,ok
normal,3000,3677.344,1225.78,3043,5,20,6,ok
top,3000,760.765,63.40,3035,5,25,6,ok
casual,4000,,,,,,,none
normal,4000,,,,,,,none
top,4000,,,,,,,none
casual,4738,,,,,,,none
normal,4738,,,,,,,none
top,4738,,,,,,,none
