from_level,attempt_cost,expected_attempts,expected_gold,expected_materials
0,10,1.0775,10.775,
1,20,1.092,21.84,
2,30,1.0785,32.355,
3,40,1.0915,43.66,
4,50,1.089,54.45,
5,106,1.2515,132.659,
6,164,1.2975,212.79,
7,221,1.2775,282.3275,
8,323,1.607,519.061,
9,433,1.6055,695.1815,
10,578,1.609,930.002,
11,958,2.0435,1957.673,
12,1610,2.049,3298.89,
13,2410,2.0335,4900.735,
14,4250,2.52,10710,
15,8140,2.5535,20785.49,
16,14900,2.4845,37019.05,
17,33700,3.478,117208.6,
18,89300,3.4525,308308.25,
19,235000,5.0635,961537.75,enhanceStone 28.0
20,766000,7.322,4406997.1,enhanceStone 60.5
21,3480000,8.4015,20206701.75,enhanceStone 87.0
22,15900000,12.514,99294598.28,enhanceStone 57.1 highEnhanceStone 55.5
23,84200000,17.676,721231846.08,enhanceStone 49.0 highEnhanceStone 130.8
24,624000000,23.3725,5514503777.23,enhanceStone 53.3 highEnhanceStone 210.6
