profile,stage,play_hours,calendar_days,level,rebirth,weapon_level,weapon_grade,status
casual,10,1.009,1.01,13,0,14,0,ok
normal,10,0.340,0.11,16,0,14,0,ok
top,10,0.087,0.01,9,0,13,0,ok
casual,50,2.081,2.08,24,0,15,0,ok
normal,50,0.387,0.13,16,0,14,0,ok
top,50,0.111,0.01,9,0,13,0,ok
casual,100,4.169,4.17,50,0,16,0,ok
normal,100,1.780,0.59,53,0,17,0,ok
top,100,0.475,0.04,36,0,16,0,ok
casual,500,26.896,26.90,408,5,18,6,ok
normal,500,16.592,5.53,420,5,20,6,ok
top,500,4.395,0.37,376,5,18,6,ok
casual,1000,53.771,53.77,901,5,18,6,ok
normal,1000,36.184,12.06,924,5,21,6,ok
top,1000,9.461,0.79,887,5,20,6,ok
casual,2000,109.520,109.52,1913,5,18,6,ok
normal,2000,75.701,25.23,1930,5,22,6,ok
top,2000,19.592,1.63,1885,5,20,6,ok
casual,5000,274.767,274.77,4913,5,18,6,ok
normal,5000,193.586,64.53,4932,5,24,6,ok
top,5000,50.068,4.17,4886,5,22,6,ok
casual,10000,549.513,549.51,9901,5,18,6,ok
normal,10000,389.838,129.95,9928,5,24,6,ok
top,10000,100.806,8.40,9882,5,22,6,ok
casual,15000,825.259,825.26,14907,5,18,6,ok
normal,15000,586.091,195.36,14924,5,24,6,ok
top,15000,151.628,12.64,14887,5,23,6,ok
casual,20000,1101.005,1101.00,19913,5,18,6,ok
normal,20000,782.677,260.89,19929,5,24,6,ok
top,20000,202.367,16.86,19883,5,23,6,ok
casual,21230,10305.915,10305.91,21438,5,18,6,ok
normal,21230,4530.425,1510.14,21436,5,24,6,ok
top,21230,2198.372,183.20,21422,5,30,6,ok
