segment,profile,gold_per_min,exp_per_min,next_attempt_cost,next_level_expected_gold,purchasing_power,gear_replace_interval_min,gem_slots,gem_avg_level,gem_attack_bonus,enhance_level,minutes
1 ~ 100,casual,274.77271828961625,192.6956042727253,16286,41920.62091345127,0.01687171302281814,27.566217241628845,0,0,0,16,248.0959551746596
1 ~ 100,normal,953.5928240503473,522.442133576225,37019,128643.54308437966,0.0257595511507698,8.690117127911408,0,0,0,17,104.28140553493691
1 ~ 100,top,1958.898852676503,873.2605414738488,16286,41920.62091345127,0.12028115268798374,2.3158418791259394,0,0,0,16,27.790102549511275
101 ~ 500,casual,357.66161431247167,180263.4159206045,146313,507270.46309211943,0.002444496485701692,62.03273257427006,5,406.2,0.3088923269356884,18,1364.7201166339412
101 ~ 500,normal,1266.689963371286,399487.4049260631,1261343,7087275.270657429,0.0010042391033773415,20.704140737744297,5,409.4,0.7548532592740541,20,910.982192460749
101 ~ 500,top,2636.2058804591784,614630.7292351674,146313,507270.46309211943,0.018017577935379482,5.474755026657837,5,398.6,0.8183217186319133,18,235.414466146287
501 ~ 1000,casual,574.1063123775075,3209432389.0936446,242378,840327.7441401895,0.00236864035670526,61.84936543209878,5,608.6,0.31050966073301234,18,1669.932866666667
501 ~ 1000,normal,1996.06110280233,6018839434.504559,2288078,15063222.592190169,0.0008723745881050952,20.614775178687456,5,808.6,0.7646641620863841,21,1175.042185185185
501 ~ 1000,top,4285.717838581302,9362874653.689281,2068720,11623787.274792558,0.0020716761275480985,5.329844704353479,5,795.2,0.8287906322394945,20,303.8011481481483
1001 ~ 20000,casual,6942288089.790911,1.9187785210223116e+171,42637975959152,147825862650382.28,0.00016281936310583213,61.96928435888888,5,8206.2,0.3171302437988215,18,62774.885055554434
1001 ~ 20000,normal,23729326515.225548,3.6940558144585965e+171,535720145869756,9111898210145006,0.00004429425829543959,20.621246736442167,5,16005.4,0.804686667703876,24,44768.72666481594
1001 ~ 20000,top,51213282458.83722,6.8642652811795276e+171,489458281054949,6659181735470881,0.00010463257940688057,5.331279722222665,5,15999.2,0.8718159037772806,23,11579.539556667629
20001 ~ 21230,casual,165992622914.8408,3.153272537776826e+183,146515060022785,507967713098996.75,0.001132938981760829,2207.7932566477366,5,21193.6,0.35276535783098706,18,607143.1455781276
20001 ~ 21230,normal,617461551506.5841,7.43729945196793e+183,1840872310700617,31310827569767148,0.0003354179146035309,754.3331759017701,5,21168.6,0.8641442081817831,24,247421.2816957806
20001 ~ 21230,top,1304387545067.2964,1.0810611126373402e+184,,,,320.106575370076,5,21159.6,0.9371880102134245,30,129002.94987414061
