tier,dealer,mode,d4,d3h1,d2h2,d1h3,h4
none,dualblade,healMode,1,0.8635653572510719,0.7142417018157088,0.5649180463803456,0.41559439094498246
none,dualblade,dealingMode,1,0.8022157958454242,0.5915425790044136,0.38086936216340306,0.1701961453223924
none,dualblade,rebuiltBuff,1,0.9999999999999998,0.8270847085498023,0.6541694170996046,0.48125412564940706
none,greatsword,healMode,1,0.8968252284450907,0.7807614442037465,0.664697659962402,0.5486338757210578
none,greatsword,dealingMode,1,0.8158365327814304,0.6187840528764259,0.4217315729714214,0.22467909306641687
none,greatsword,rebuiltBuff,1,1.0000000000000002,0.8705837207071273,0.7411674414142545,0.6117511621213818
average,dualblade,healMode,1,0.8651857641034174,0.7174825155204,0.5697792669373825,0.4220760183543649
average,dualblade,dealingMode,1,0.8028793923860222,0.5928697720856094,0.38286015178519667,0.1728505314847839
average,dualblade,rebuiltBuff,1,1,0.82928146218855,0.6585629243771001,0.48784438656565016
average,greatsword,healMode,1,0.9008243472923055,0.7887596818981762,0.6766950165040471,0.5646303511099177
average,greatsword,dealingMode,1,0.8174742705067499,0.6220595283270649,0.4266447861473799,0.23123004396769492
average,greatsword,rebuiltBuff,1,0.9999999999999998,0.8755976503843697,0.7511953007687395,0.6267929511531092
top,dualblade,healMode,1,0.868913075618424,0.7249371385504129,0.5809612014824018,0.43698526441439073
top,dualblade,dealingMode,1,0.8132713498926701,0.6136536870989052,0.4140360243051404,0.21441836151137555
top,dualblade,rebuiltBuff,1,1,0.8343034060506681,0.6686068121013362,0.5029102181520045
top,greatsword,healMode,1,0.9077805763195677,0.8026721399527003,0.697563703585833,0.5924552672189656
top,greatsword,dealingMode,1,0.8323427156686988,0.6517964186509627,0.47125012163322655,0.2907038246154905
top,greatsword,rebuiltBuff,1,1,0.8842138297417527,0.7684276594835052,0.6526414892252581
