stage,profile,gem_power,gem_share,gem_avg_level,gem_count
125,casual,0,0,0,0
125,normal,0,0,0,0
125,top,0,0,0,0
500,casual,0.3089758800729426,0.127424681490094,413.4,5
500,normal,0.7548532592740541,0.22380886411096623,409.4,5
500,top,0.8184051647497779,0.19652566676139838,404,5
1000,casual,0.31050966073301234,0.12797627676349588,608.6,5
1000,normal,0.7646641620863841,0.22606015145672353,808.6,5
1000,top,0.8289106653962777,0.19854750058855597,801.6,5
2000,casual,0.3120749185843468,0.12853847368560145,1013.4,5
2000,normal,0.7741640949793838,0.22822767098399388,1613.4,5
2000,top,0.8390727123650443,0.20049357683504476,1600,5
5000,casual,0.31409265030418354,0.12926211796506615,2213.4,5
5000,normal,0.7863918232661253,0.23099976226491892,4015,5
5000,top,0.8522135558566761,0.2029961370468999,4000.8,5
10000,casual,0.3156108771589774,0.12980582672916874,4208.6,5
10000,normal,0.7955523089005051,0.23306348077662253,8011.8,5
10000,top,0.8620313959599515,0.20485565879795842,7997.6,5
20000,casual,0.317132215758161,0.13034996920238273,8213.4,5
20000,normal,0.804692596066968,0.2351116384225459,16012.6,5
20000,top,0.8718159037772806,0.20670025445229911,15999.2,5
