stage,profile,gold_per_min,attempt_cost,power,vs_stage100
10,casual,257.66573756093294,792478,0.00032513929416454836,1.0669288391773626
10,normal,414.29107687742317,804449,0.0005149998034398988,0.5414846733443032
10,top,692.5200211060835,812529,0.0008523019130468987,0.5332975592645427
50,casual,247.35108027320035,816600,0.0003029036006284599,0.9939634882691571
50,normal,414.29107687742317,804449,0.0005149998034398988,0.5414846733443032
50,top,692.5200211060835,812529,0.0008523019130468987,0.5332975592645427
100,casual,260.3015733390276,854167,0.00030474318644834977,1
100,normal,812.3883440467025,854167,0.0009510884218738285,1
100,top,1358.3018598749068,849909,0.0015981732866399893,1
500,casual,370.0560355506814,1280396,0.0002890168631819229,0.9483948322201708
500,normal,1239.474159596619,1261343,0.000982662257289745,1.0331975815179308
500,top,2175.277584474229,1267663,0.001715974659254257,1.073710012299063
1000,casual,665.13379400575,2079084,0.00031991674891719145,1.0497913100065763
1000,normal,2112.5443844117876,2079084,0.0010160938107415514,1.068348417847049
1000,top,3965.458327210064,2089500,0.0018978025016559291,1.187482307156993
2000,casual,1841.7588632054633,5734041,0.0003211973655586807,1.0539935914633476
2000,normal,5846.900477404462,5677014,0.0010299253229610606,1.0828912425743844
2000,top,9662.844481656417,5648714,0.0017106273182987167,1.0703641041924505
5000,casual,37285.65896339999,114998784,0.0003242265497642131,1.0639337126546897
5000,normal,115919.73008744694,113855096,0.0010181338750743923,1.0704933964693537
5000,top,251259.28973604483,113287524,0.0022178902041856334,1.3877657840524549
10000,casual,5472740.55502015,16771406499,0.0003263137504505936,1.070782760571744
10000,normal,18986186.972750805,16771406499,0.0011320569311752632,1.1902751680489303
10000,top,32095010.24655828,16771406499,0.0019136743390288677,1.1974135439669311
20000,casual,121041514590.92732,373125938402698,0.0003243985532313561,1.064498133697692
20000,normal,377395455591.8199,369415119123617,0.0010216026254884615,1.0741405341426682
20000,top,749760518478.0817,367573571851070,0.002039756326066507,1.2763048557487184
