tier,dealer,mode,d4,d3h1,d2h2,d1h3,h4
none,dualblade,healMode,1,0.8635653572510719,0.714241701815709,0.5649180463803459,0.41559439094498285
none,dualblade,dealingMode,1,0.8034073897622048,0.5939257668379749,0.38444414391374493,0.1749625209895149
none,dualblade,rebuiltBuff,1,1,0.8270847085498025,0.6541694170996051,0.48125412564940756
none,greatsword,healMode,1,0.8968252284450902,0.7807614442037455,0.6646976599624008,0.548633875721056
none,greatsword,dealingMode,1,0.81740957804646,0.6219301434064851,0.4264507087665103,0.2309712741265354
none,greatsword,rebuiltBuff,1,0.9999999999999999,0.8705837207071265,0.7411674414142534,0.6117511621213799
average,dualblade,healMode,1,0.8646295271674277,0.7163700416484204,0.5681105561294131,0.4198510706104057
average,dualblade,dealingMode,1,0.8038553983383153,0.5948217839901957,0.3857881696420762,0.17675455529395656
average,dualblade,rebuiltBuff,1,1,0.8285283108423173,0.6570566216846345,0.4855849325269519
average,greatsword,healMode,1,0.8991489061937948,0.7854087997011548,0.6716686932085147,0.5579285867158746
average,greatsword,dealingMode,1,0.8183878311839871,0.6238866496815391,0.42938546817909107,0.2348842866766432
average,greatsword,rebuiltBuff,1,1,0.8735024802798065,0.7470049605596129,0.6205074408394192
top,dualblade,healMode,1,0.8666230358213277,0.7203570589562205,0.5740910820911133,0.4278251052260062
top,dualblade,dealingMode,1,0.8046946524459269,0.5965002922054189,0.38830593196491087,0.18011157172440284
top,dualblade,rebuiltBuff,1,1,0.8312230683707985,0.6624461367415971,0.49366920511239576
top,greatsword,healMode,1,0.9051153785495627,0.7973417444126905,0.6895681102758183,0.581794476138946
top,greatsword,dealingMode,1,0.820899677030621,0.6289103413748072,0.4369210057189933,0.24493167006317937
top,greatsword,rebuiltBuff,1,1,0.8809282919161331,0.7618565838322663,0.6427848757483993
