profile,stage,play_hours,calendar_days,level,rebirth,weapon_level,weapon_grade,status
casual,10,1.009,1.01,13,0,14,0,ok
normal,10,0.340,0.11,16,0,14,0,ok
top,10,0.087,0.01,9,0,13,0,ok
casual,50,2.081,2.08,24,0,15,0,ok
normal,50,0.387,0.13,16,0,14,0,ok
top,50,0.111,0.01,9,0,13,0,ok
casual,100,4.169,4.17,50,0,16,0,ok
normal,100,1.780,0.59,53,0,17,0,ok
top,100,0.475,0.04,36,0,16,0,ok
casual,500,25.890,25.89,400,5,18,6,ok
normal,500,16.591,5.53,420,5,20,6,ok
top,500,4.311,0.36,368,5,18,6,ok
casual,1000,53.764,53.76,914,5,18,6,ok
normal,1000,36.183,12.06,924,5,21,6,ok
top,1000,9.460,0.79,890,5,20,6,ok
casual,2000,108.514,108.51,1908,5,18,6,ok
normal,2000,75.700,25.23,1930,5,22,6,ok
top,2000,19.591,1.63,1887,5,20,6,ok
casual,5000,273.761,273.76,4908,5,18,6,ok
normal,5000,193.585,64.53,4932,5,24,6,ok
top,5000,50.067,4.17,4888,5,22,6,ok
casual,10000,549.507,549.51,9914,5,18,6,ok
normal,10000,389.837,129.95,9928,5,24,6,ok
top,10000,100.806,8.40,9885,5,22,6,ok
casual,15000,824.253,824.25,14902,5,18,6,ok
normal,15000,586.090,195.36,14924,5,24,6,ok
top,15000,151.628,12.64,14890,5,23,6,ok
casual,20000,1099.998,1100.00,19908,5,18,6,ok
normal,20000,782.676,260.89,19929,5,24,6,ok
top,20000,202.366,16.86,19886,5,23,6,ok
casual,21230,1167.150,1167.15,21127,5,18,6,ok
normal,21230,830.798,276.93,21154,5,24,6,ok
top,21230,214.892,17.91,21120,5,23,6,ok
