segment,profile,gold_per_min,exp_per_min,next_attempt_cost,next_level_expected_gold,purchasing_power,gear_replace_interval_min,gem_slots,gem_avg_level,gem_attack_bonus,enhance_level,minutes
1 ~ 100,casual,274.77271828961625,192.6956042727253,16286,41920.62091345127,0.01687171302281814,27.566217241628845,0,0,0,16,248.0959551746596
1 ~ 100,normal,953.5928240503473,522.442133576225,37019,128643.54308437966,0.0257595511507698,8.690117127911408,0,0,0,17,104.28140553493691
1 ~ 100,top,1958.898852676503,873.2605414738488,16286,41920.62091345127,0.12028115268798374,2.3158418791259394,0,0,0,16,27.790102549511275
101 ~ 500,casual,356.63003226212953,164794.91927453093,145584,504741.7021145844,0.0024496512821610174,61.945614973976426,5,404.2,0.308868540039993,18,1300.857914453505
101 ~ 500,normal,1267.4522250720115,399576.4492189161,1261343,7087275.270657429,0.001004843428846881,20.70271685701109,5,409.4,0.7548532592740541,20,910.9195417084879
101 ~ 500,top,2668.145063017386,653858.4674535858,147046,509811.89318745217,0.018144968669786227,5.3596223826855764,5,399.8,0.8183404107915991,18,235.82338483816537
501 ~ 1000,casual,570.8091643479196,2901742075.0441217,241170,836138.6809828973,0.0023668332062359316,61.958957475994566,5,606.6,0.31049833492074264,18,1672.8918518518533
501 ~ 1000,normal,1996.0611028023297,6018839434.504558,2288078,15063222.592190169,0.0008723745881050951,20.61477517868746,5,808.6,0.7646641620863841,21,1175.0421851851852
501 ~ 1000,top,4303.536358931151,9938121807.922718,2068720,11623787.274792558,0.002080289434496283,5.328926296296299,5,796.8,0.8288207368168581,20,303.74879888888904
1001 ~ 20000,casual,6907680541.380916,1.737896823729786e+171,42425424159646,147088945561494.22,0.00016281936311084258,61.96928435888888,5,8204.2,0.3171296957167742,18,62774.885055554434
1001 ~ 20000,normal,23729326515.225548,3.6940558144585965e+171,535720145869756,9111898210145006,0.00004429425829543959,20.621246736442167,5,16005.4,0.804686667703876,24,44768.72666481594
1001 ~ 20000,top,51373939202.39649,7.2847441828109884e+171,489458281054949,6659181735470881,0.00010496081319059141,5.331279722222665,5,16000.8,0.8718173129385709,23,11579.539556667629
20001 ~ 21230,casual,259297138795.6755,1.182935282969739e+183,146515060022785,507967713098996.75,0.0017697644102616578,61.99581447811439,5,8699,0.31726127140549076,18,4091.72375555555
20001 ~ 21230,normal,888650755617.1814,2.330429302713833e+183,1840872310700617,31310827569767148,0.00048273351196149506,20.62568041765143,5,16992.6,0.8054755355489078,24,2908.220938888852
20001 ~ 21230,top,1914532201588.3394,3.8757566324504574e+183,1665177725390795,22655089359884464,0.001149746463933166,5.3312797222221615,5,16980.8,0.8726549071783012,23,746.3791611111026
