from_level,attempt_cost,expected_attempts,expected_gold,expected_materials
0,10,1.084,10.84,
1,20,1.0955,21.91,
2,30,1.085,32.55,
3,40,1.0955,43.82,
4,50,1.09,54.5,
5,106,1.2955,137.323,
6,164,1.292,211.888,
7,221,1.2845,283.8745,
8,323,1.625,524.875,
9,433,1.595,690.635,
10,578,1.578,912.084,
11,958,2.065,1978.27,
12,1610,2.0415,3286.815,
13,2410,2.0735,4997.135,
14,4250,2.505,10646.25,
15,8140,2.5425,20695.95,
16,14900,2.574,38352.6,
17,33700,3.475,117107.5,
18,89300,3.467,309603.1,
19,235000,5.0605,969939,enhanceStone 28.4
20,766000,7.0445,4304023.55,enhanceStone 59.1
21,843000,7.821,5549763.7,enhanceStone 81.6
22,927000,12.0595,8618342.845,enhanceStone 55.4 highEnhanceStone 52.0
23,1020000,17.6845,13877312.19,enhanceStone 51.7 highEnhanceStone 127.2
24,1122000,22.846,19083750.855,enhanceStone 51.3 highEnhanceStone 207.1
25,1234000,27.105,23661120.19,enhanceStone 56.8 highEnhanceStone 280.1
26,1357000,33.4235,30589934.155,enhanceStone 66.7 highEnhanceStone 384.8
27,1493000,45.38,44300082.535,enhanceStone 83.8 highEnhanceStone 590.5
28,1642000,62.55,63085118.515,enhanceStone 110.9 highEnhanceStone 862.3
29,1806000,94.909,99519905.55,enhanceStone 170.2 highEnhanceStone 1382.5
