stage,profile,gem_power,gem_share,gem_avg_level,gem_count
125,casual,0,0,0,0
125,normal,0,0,0,0
125,top,0,0,0,0
500,casual,0.3089529891088142,0.1274164439016976,411.4,5
500,normal,0.7548532592740541,0.22380886411096623,409.4,5
500,top,0.8183404107915991,0.19651317291971537,399.8,5
1000,casual,0.3105410646141217,0.1279875632913503,614.2,5
1000,normal,0.7646641620863841,0.22606015145672353,808.6,5
1000,top,0.8289554147253181,0.19855609104731586,804,5
2000,casual,0.31206938765324954,0.1285364884057788,1011.4,5
2000,normal,0.7741640949793838,0.228227670983994,1613.4,5
2000,top,0.8390872002849998,0.20049634458822108,1601.6,5
5000,casual,0.31409045266052804,0.1292613304504937,2211.4,5
5000,normal,0.7863918232661253,0.23099976226491892,4015,5
5000,top,0.8522220857486836,0.20299775640318862,4003.2,5
10000,casual,0.31561394781763585,0.12980692570815844,4214.2,5
10000,normal,0.7955523089005051,0.23306348077662253,8011.8,5
10000,top,0.8620356372090188,0.20485646022537174,8000,5
20000,casual,0.31713166816993293,0.13034977346702292,8211.4,5
20000,normal,0.804692596066968,0.2351116384225459,16012.6,5
20000,top,0.8718173129385709,0.20670051949393187,16000.8,5
