stage,profile,gold_per_min,attempt_cost,power,vs_stage100
10,casual,257.66573756093294,792478,0.00032513929416454836,1.0669288391773626
10,normal,414.29107687742317,804449,0.0005149998034398988,0.5414846733443032
10,top,692.5200211060835,812529,0.0008523019130468987,0.5332975592645427
50,casual,247.35108027320035,816600,0.0003029036006284599,0.9939634882691571
50,normal,414.29107687742317,804449,0.0005149998034398988,0.5414846733443032
50,top,692.5200211060835,812529,0.0008523019130468987,0.5332975592645427
100,casual,260.3015733390276,854167,0.00030474318644834977,1
100,normal,812.3883440467025,854167,0.0009510884218738285,1
100,top,1358.3018598749068,849909,0.0015981732866399893,1
500,casual,405.78840453957474,1274014,0.000318511731063846,1.0451808120009596
500,normal,1239.474159596619,1261343,0.000982662257289745,1.0331975815179308
500,top,2309.3963922096273,1261343,0.0018309027696745668,1.1456221831387694
1000,casual,680.2715678770616,2110490,0.000322328733079551,1.0577061191626733
1000,normal,2112.5443844117876,2079084,0.0010160938107415514,1.068348417847049
1000,top,3570.152240726206,2089500,0.0017086155734511634,1.0691053265214867
2000,casual,1837.0169505813503,5705456,0.00032197548286786376,1.0565469457097596
2000,normal,5846.900477404462,5677014,0.0010299253229610606,1.0828912425743844
2000,top,10844.761723585334,5677014,0.001910293285094124,1.1952979699156017
5000,casual,37102.38404047803,114425511,0.0003242492318035445,1.0640081426676975
5000,normal,115919.73008744694,113855096,0.0010181338750743923,1.0704933964693537
5000,top,232193.62767577555,113855096,0.002039378436567965,1.2760684048571282
10000,casual,5645468.713034868,17024746248,0.0003316036921077796,1.0881414477956912
10000,normal,18986186.972750805,16771406499,0.0011320569311752632,1.1902751680489303
10000,top,28814182.586765833,16771406499,0.0017180540337200633,1.0750111067943777
20000,casual,120438118419.2227,371265892566425,0.0003243985532489347,1.0644981337553754
20000,normal,377395455591.8199,369415119123617,0.0010216026254884615,1.0741405341426682
20000,top,815435942809.9858,367573571851070,0.002218429194197826,1.3881030378513377
