profile,segment,power,vs_501_1000
casual,1 ~ 100,0.0003417258936876553,0.9825897190027922
casual,101 ~ 500,0.0003421753081656924,0.9838819536676137
casual,501 ~ 1000,0.0003477808561181213,1
casual,1001 ~ 20000,0.00035644425356420016,1.0249105069864353
casual,20001 ~ 21230,0.0003567906829609752,1.0259066210355001
normal,1 ~ 100,0.0011749426054237927,0.9667080963246648
normal,101 ~ 500,0.0012066748235516223,0.9928164287971678
normal,501 ~ 1000,0.0012154057774945884,1
normal,1001 ~ 20000,0.0012268768675775456,1.0094380743413969
normal,20001 ~ 21230,0.0012273154295266658,1.0097989101686087
top,1 ~ 100,0.0024046698336366895,0.9166286111911062
top,101 ~ 500,0.0025436931657572435,0.9696224825585117
top,501 ~ 1000,0.0026233850921497633,1
top,1001 ~ 20000,0.00263646617452322,1.0049863370850893
top,20001 ~ 21230,0.0026370904149200943,1.0052242893395038
