profile,segment,required,level,weapon_grade,enhance,gems,gloves,milestone,attack_sum,armor,block_index,skip_index
casual,1 ~ 100,85,67.10194529803505,0,40.66448992147538,0,37.84505178522074,0,145.61148700473117,135.4424485556803,0,0.7130763177027197
casual,101 ~ 500,380,349,112.58007865577434,9.885238424326056,13.592290057367693,0,36,521.057607137468,381.78966496940865,0,0.37120422930912644
casual,501 ~ 1000,485,513,0,0,0.05958302923797093,0,15.000000000000007,528.059583029238,487.99921127875814,0,0.08878264542110918
casual,1001 ~ 20000,18975,18993,0,0,0.25324001801481,0,570,19563.253240018013,18974.999999965592,0,0.031001488274994122
casual,20001 ~ 21230,1220,666.8366800111662,0,0,0.004968696529902581,0,36,702.8416487076961,1219,0.4239002879445114,0
normal,1 ~ 100,90,70.10194529803506,0,45.61927005517412,0,48.59832359686092,0,164.3195389500701,145.53818153876423,0,0.8257726550007789
normal,101 ~ 500,390,376,112.58007865577434,14.722478916824029,28.399526591166442,0,36,567.7020841637648,393.8218854750854,0,0.4556463696506789
normal,501 ~ 1000,490,502,0,4.863441110262225,0.2740422232031705,0,15.000000000000007,522.1374833334654,489.9992679185088,0,0.06558670068054166
normal,1001 ~ 20000,18990,18995.000000000004,0,14.470171153386259,1.1289550568999114,0,570,19580.599126210287,18986.99999996258,0,0.031100533239088315
normal,20001 ~ 21230,1225,654.3787599066198,0,0,0.021903219464180647,0,37.50000000000001,691.900663126084,1225,0.4351831321419722,0
top,1 ~ 100,85,53.10194529803504,0,40.66448992147538,0,53.494837860160295,0,147.2612730796707,139.61408639177287,0,0.7324855656431847
top,101 ~ 500,395,343,112.58007865577434,9.885238424326056,30.19418655636614,0,34.50000000000001,530.1595036364666,397.68090325179185,0,0.34217595857333327
top,501 ~ 1000,490,509,0,9.792020626196711,0.28791372516052394,0,14.999999999999998,534.0799343513572,489.99927890154726,0,0.08995904969664739
top,1001 ~ 20000,18995,19004,0,14.52946543202114,1.1697837590807938,0,570,19589.6992491911,18995.999999963144,0,0.03130819948360624
top,20001 ~ 21230,1215,666.7723225240019,0,0,0.02242074232130131,0,37.49999999999999,704.2947432663232,1216,0.4203335446367711,0
