profile,stage,count,stage_equivalent,multiplier
casual,500,24,36,2.0398873437157055
casual,1000,34,51,2.74541978965508
casual,5000,114,171,29.554891632960874
casual,10000,214,321,576.3086466574528
casual,20000,414,621,219132.43475340592
casual,21230,438,657,447005.48025108036
normal,500,24,36,2.0398873437157055
normal,1000,34,51,2.74541978965508
normal,5000,114,171,29.554891632960874
normal,10000,214,321,576.3086466574528
normal,20000,414,621,219132.43475340592
normal,21230,439,658.5,460482.47363761126
top,500,23,34.5,1.9801857267934515
top,1000,33,49.5,2.665069273692662
top,5000,113,169.5,28.689905228743214
top,10000,213,319.5,559.441755376558
top,20000,413,619.5,212719.06064468753
top,21230,438,657,447005.48025108036
