from_level,attempt_cost,expected_attempts,expected_gold,expected_materials
0,10,1.084,10.84,
1,20,1.0955,21.91,
2,30,1.085,32.55,
3,40,1.0955,43.82,
4,50,1.09,54.5,
5,106,1.2955,137.323,
6,164,1.292,211.888,
7,221,1.2845,283.8745,
8,323,1.625,524.875,
9,433,1.595,690.635,
10,578,1.578,912.084,
11,958,2.065,1978.27,
12,1610,2.0415,3286.815,
13,2410,2.0735,4997.135,
14,4250,2.505,10646.25,
15,8140,2.5425,20695.95,
16,14900,2.574,38352.6,
17,16000,3.475,55600,
18,17000,3.467,58939,
19,18500,5.0605,91361.75,enhanceStone 28.4
20,20000,7.0445,136745.5,enhanceStone 59.1
21,20700,7.821,157130.85,enhanceStone 81.6
22,21400,12.0595,236702.995,enhanceStone 55.4 highEnhanceStone 52.0
23,22200,17.6845,355051.94,enhanceStone 51.7 highEnhanceStone 127.2
24,23000,22.846,467118.705,enhanceStone 51.3 highEnhanceStone 207.1
25,23800,27.105,560607.69,enhanceStone 56.8 highEnhanceStone 280.1
26,24600,33.4235,700393.605,enhanceStone 66.7 highEnhanceStone 384.8
27,25500,45.38,969642.385,enhanceStone 83.8 highEnhanceStone 590.5
28,26400,62.55,1347381.965,enhanceStone 110.9 highEnhanceStone 862.3
29,27300,94.909,2067443.35,enhanceStone 170.2 highEnhanceStone 1382.5
