profile,segment,power,vs_501_1000
casual,1 ~ 100,0.013026064255233848,0.9767014512962355
casual,101 ~ 500,0.012703436457307805,0.9525106418323359
casual,501 ~ 1000,0.013336792156852255,1
casual,1001 ~ 2000,0.01323188248962355,0.9921338155386336
casual,2001 ~ 10000,0.005490503902893844,0.411680997823221
casual,10001 ~ 17000,0.005411423562646912,0.405751510483471
casual,17001 ~ 25300,0.0054170302731493414,0.40617190471594383
normal,1 ~ 100,0.04478963161948735,0.9621456735083148
normal,101 ~ 500,0.04555996430596387,0.9786935269881578
normal,501 ~ 1000,0.04655181938943706,1
normal,1001 ~ 2000,0.04665897152044158,1.002301781808099
normal,2001 ~ 10000,0.021626251370379372,0.46456296776418843
normal,10001 ~ 17000,0.019907654791028056,0.42764504271008674
normal,17001 ~ 25300,0.01992772545184825,0.42807618935662894
top,1 ~ 100,0.09191326163229836,0.9155399716306579
top,101 ~ 500,0.09461157984614622,0.9424176836940132
top,501 ~ 1000,0.10039240719178288,1
top,1001 ~ 2000,0.10048219921914625,1.0008944105423414
top,2001 ~ 10000,0.05125008576524984,0.5104976282453825
top,10001 ~ 17000,0.042914346611348964,0.42746605855728004
top,17001 ~ 25300,0.0430550460630284,0.4288675535070989
