segment,profile,gold_per_min,exp_per_min,next_attempt_cost,next_level_expected_gold,purchasing_power,gear_replace_interval_min,gem_slots,gem_avg_level,gem_attack_bonus,enhance_level,minutes
1 ~ 100,casual,274.7778668775352,192.69921493053138,16286,40463.008026211995,0.01687202915863534,27.565700725889517,0,0,0,16,248.09130653300565
1 ~ 100,normal,953.5690625416858,522.4291154274208,37019,128754.60225826546,0.02575890927744363,8.690333672576621,0,0,0,17,104.28400407091945
1 ~ 100,top,1957.9427200107327,873.0325192752666,16286,40463.008026211995,0.12022244381743416,2.315014949284022,0,0,0,16,27.780179391408264
101 ~ 500,casual,357.0028155334678,167203.10206219947,145584,502630.7258582644,0.0024522118882120826,62.10021718686984,5,404.2,0.308868540039993,18,1304.1045609242667
101 ~ 500,normal,1267.6182097586823,399585.215099273,147046,507679.7119208765,0.008620555538802022,20.702444357864913,5,409.4,0.7548532592740541,18,910.9075517460561
101 ~ 500,top,2669.9660434062894,653677.8944071039,386965,1583328.399162357,0.006899761072464666,5.359542114733903,5,399.8,0.8183404107915991,19,235.81985304829172
501 ~ 1000,casual,571.0652781288181,2907572656.5698266,241170,832641.7064013422,0.0023678951699167314,61.83466406035669,5,606.6,0.31049833492074264,18,1669.5359296296306
501 ~ 1000,normal,1996.0611028023297,6018839434.504558,637839,2609815.109613352,0.003129412128769689,20.61477517868746,5,808.6,0.7646641620863841,19,1175.0421851851852
501 ~ 1000,top,4303.4746646616995,9937432311.703066,634659,2596805.090130761,0.0067807667813135864,5.329296211825864,5,796.8,0.8288207368168581,19,303.76988407407424
1001 ~ 20000,casual,6907680541.380916,1.737896823729786e+171,42425424159646,146473776911179.38,0.00016281936311084258,61.96928435888888,5,8204.2,0.3171296957167742,18,62774.885055554434
1001 ~ 20000,normal,23729326515.225548,3.6940558144585965e+171,487018314427051,6681945743595336,0.00004872368412498354,20.621246736442167,5,16005.4,0.804686667703876,23,44768.72666481594
1001 ~ 20000,top,51373939202.39649,7.2847441828109884e+171,444831202488174,4351605759849704,0.00011549086241035955,5.331279722222665,5,16000.8,0.8718173129385709,22,11579.539556667629
20001 ~ 21230,casual,259297138795.6755,1.182935282969739e+183,146515060022785,505843244728666.4,0.0017697644102616578,61.99581447811439,5,8699,0.31726127140549076,18,4091.72375555555
20001 ~ 21230,normal,888650755617.1814,2.330429302713833e+183,1673520282455107,22960885447042716,0.0005310068631576444,20.62568041765143,5,16992.6,0.8054755355489078,23,2908.220938888852
20001 ~ 21230,top,1914532201588.3394,3.8757566324504574e+183,1513352697487516,14804524229043554,0.0012650931965607658,5.3312797222221615,5,16980.8,0.8726549071783012,22,746.3791611111026
