profile,segment,power,vs_501_1000
casual,1 ~ 100,0.0003417322968190098,0.9826099607338021
casual,101 ~ 500,0.00034234961845110276,0.9843849945550633
casual,501 ~ 1000,0.0003477802082973064,1
casual,1001 ~ 20000,0.00035644425356420016,1.0249124161185363
casual,20001 ~ 21230,0.0003567906829609752,1.0259085320230934
normal,1 ~ 100,0.0011749133283485134,0.9666840080112625
normal,101 ~ 500,0.0012068431584410769,0.9929549297756652
normal,501 ~ 1000,0.0012154057774945884,1
normal,1001 ~ 20000,0.0012268768675775456,1.0094380743413969
normal,20001 ~ 21230,0.0012273154295266658,1.0097989101686087
top,1 ~ 100,0.0024035114887025746,0.9161860157756888
top,101 ~ 500,0.0025454383991966433,0.9702866311744965
top,501 ~ 1000,0.0026233880973042813,1
top,1001 ~ 20000,0.00263646617452322,1.0049851858489323
top,20001 ~ 21230,0.0026370904149200943,1.0052231378307666
