profile,stage,play_hours,calendar_days,level,rebirth,weapon_level,weapon_grade,status
casual,10,0.014,0.01,1,0,0,0,ok
normal,10,0.009,0.00,1,0,0,0,ok
top,10,0.004,0.00,1,0,0,0,ok
casual,20,0.073,0.07,1,0,8,0,ok
normal,20,0.058,0.02,3,0,10,0,ok
top,20,0.011,0.00,1,0,0,0,ok
casual,50,1.128,1.13,12,0,14,0,ok
normal,50,0.429,0.14,15,0,14,0,ok
top,50,0.063,0.01,4,0,12,0,ok
casual,100,3.217,3.22,32,1,16,1,ok
normal,100,1.822,0.61,44,1,17,1,ok
top,100,0.428,0.04,21,1,16,1,ok
casual,500,26.032,26.03,393,5,18,6,ok
normal,500,16.651,5.55,413,5,20,6,ok
top,500,4.517,0.38,357,5,22,6,ok
casual,1000,52.907,52.91,897,5,18,6,ok
normal,1000,36.243,12.08,924,5,24,6,ok
top,1000,9.583,0.80,883,5,25,6,ok
casual,2000,108.861,108.86,1904,5,18,6,ok
normal,2000,75.780,25.26,1929,5,24,6,ok
top,2000,19.799,1.65,1888,5,30,6,ok
casual,5000,391.077,391.08,4911,5,18,6,ok
normal,5000,197.826,65.94,4894,5,24,6,ok
top,5000,72.781,6.07,4914,5,30,6,ok
casual,10000,3469.141,3469.14,9997,5,18,6,ok
normal,10000,1058.253,352.75,9984,5,24,6,ok
top,10000,341.512,28.46,9954,5,30,6,ok
casual,15000,9342.139,9342.14,14999,5,18,6,ok
normal,15000,2702.070,900.69,14986,5,24,6,ok
top,15000,857.851,71.49,14953,5,30,6,ok
casual,17000,11756.023,11756.02,17000,5,18,6,ok
normal,17000,3377.363,1125.79,16986,5,24,6,ok
top,17000,1070.395,89.20,16953,5,30,6,ok
casual,20000,15697.235,15697.24,20007,5,18,6,ok
normal,20000,4477.403,1492.47,19990,5,24,6,ok
top,20000,1417.353,118.11,19966,5,30,6,ok
casual,25300,,,,,,,none
normal,25300,6067.786,2022.60,25287,5,24,6,ok
top,25300,2168.161,180.68,25274,5,30,6,ok
