tier,dealer,mode,d4,d3h1,d2h2,d1h3,h4
none,dualblade,healMode,1,0.8635653572510719,0.7142417018157088,0.5649180463803456,0.41559439094498246
none,dualblade,dealingMode,1,0.8022157958454242,0.5915425790044136,0.38086936216340306,0.1701961453223924
none,dualblade,rebuiltBuff,1,0.9999999999999998,0.8270847085498023,0.6541694170996046,0.48125412564940706
none,greatsword,healMode,1,0.8968252284450907,0.7807614442037465,0.664697659962402,0.5486338757210578
none,greatsword,dealingMode,1,0.8158365327814304,0.6187840528764259,0.4217315729714214,0.22467909306641687
none,greatsword,rebuiltBuff,1,1.0000000000000002,0.8705837207071273,0.7411674414142545,0.6117511621213818
average,dualblade,healMode,1,0.8648893554791398,0.7168896982718447,0.5688900410645494,0.4208903838572544
average,dualblade,dealingMode,1,0.8027580057494567,0.5926269988124785,0.3824959918755003,0.17236498493852215
average,dualblade,rebuiltBuff,1,0.9999999999999999,0.8288802419989261,0.6577604839978523,0.48664072599677843
average,greatsword,healMode,1,0.9013098573046834,0.7897307019229318,0.67815154654118,0.5665723911594285
average,greatsword,dealingMode,1,0.8176730988221041,0.6224571849577732,0.4272412710934425,0.2320253572291116
average,greatsword,rebuiltBuff,1,1,0.8762033339839166,0.7524066679678333,0.62861000195175
top,dualblade,healMode,1,0.8681886682166029,0.7234883237467709,0.5787879792769388,0.4340876348071067
top,dualblade,dealingMode,1,0.8135481564302053,0.6142073001739755,0.41486644391774563,0.21552558766151594
top,dualblade,rebuiltBuff,1,1,0.8333307611961009,0.666661522392202,0.49999228358830294
top,greatsword,healMode,1,0.9056033131549233,0.7983176136234116,0.6910319140919,0.5837462145603884
top,greatsword,dealingMode,1,0.8321246204685363,0.6513602282506379,0.47059583603273936,0.28983144381484083
top,greatsword,rebuiltBuff,1,1,0.8815312422414272,0.7630624844828543,0.6445937267242814
