stage,profile,gold_per_min,attempt_cost,power,vs_stage100
10,casual,195.47464505250375,20485,0.009542330732365328,0.8254522687230637
10,normal,416.2029069422035,20281,0.02052181386234424,0.5611038423271265
10,top,736.1701864021917,20383,0.03611687123594131,0.7597056159121486
50,casual,262.2041569318473,21003,0.012484128787880175,1.0799303356814391
50,normal,881.4824745625052,21003,0.04196936030864663,1.1475189029174422
50,top,902.6592709937559,21214,0.04255016833193909,0.8950277455820401
100,casual,255.24754192821024,22080,0.01156012418153126,1
100,normal,815.6734248331396,22302,0.03657400344512329,1
100,top,1054.9262187081351,22190,0.047540613731777155,1
500,casual,376.1041347996677,33264,0.011306641859056868,0.9780726990044483
500,normal,1202.3866763420622,32933,0.03651008642826533,0.9982523921135987
500,top,1841.1382369017688,32933,0.05590557303925451,1.175953961273454
1000,casual,645.0006851505092,54284,0.011881966788565861,1.02784075689678
1000,normal,2112.5443844117876,54284,0.038916520234540335,1.0640486840039762
1000,top,4221.045728855239,54284,0.07775856106505119,1.6356238374153702
2000,casual,1386.7826891204109,148967,0.009309328167449239,0.8052965540216299
2000,normal,5332.603510379853,148224,0.03597665364839603,0.9836673664226137
2000,top,9592.868362607378,148224,0.0647187254601642,1.3613355062117096
5000,casual,13365.76310780017,2218423,0.006024893858294911,0.5211789911323297
5000,normal,45526.02009768364,2218423,0.020521794129290782,0.561103302789433
5000,top,204347.4922335707,2218423,0.09211385395552187,1.9375823474897844
10000,casual,2331246.867888957,328421798,0.007098331724890431,0.6140359405680867
10000,normal,8335375.07986614,328421798,0.025380090878943853,0.6939380020845922
10000,top,18339604.792857572,328421798,0.05584161862745046,1.1746087028347456
20000,casual,50295579619.222496,7197915897866,0.0069875197672334384,0.6044502340551733
20000,normal,193572293184.10217,7197915897866,0.026892825080311298,0.7352989158176813
20000,top,402744625532.8463,7233977528529,0.055674022202104184,1.1710833712878739
