profile,stage,claimed_level,stage_equivalent,multiplier
casual,500,350,2.607898052083284,1.053
casual,1000,850,3.0852016980391856,1.063
casual,5000,4900,6.79358809038231,1.1440000000000001
casual,10000,9950,10,1.2189944199947573
casual,20000,20000,10,1.2189944199947573
normal,500,400,2.655831942527981,1.054
normal,1000,900,3.132684870124299,1.064
normal,5000,4850,6.749426872183685,1.143
normal,10000,9950,10,1.2189944199947573
normal,20000,19950,10,1.2189944199947573
normal,25300,25250,10,1.2189944199947573
top,500,350,2.607898052083284,1.053
top,1000,850,3.0852016980391856,1.063
top,5000,4900,6.79358809038231,1.1440000000000001
top,10000,9950,10,1.2189944199947573
top,20000,19950,10,1.2189944199947573
top,25300,25250,10,1.2189944199947573
