from_level,attempt_cost,expected_attempts,expected_gold,expected_materials
0,10,1.0775,10.775,
1,20,1.092,21.84,
2,30,1.0785,32.355,
3,40,1.0915,43.66,
4,50,1.089,54.45,
5,106,1.2515,132.659,
6,164,1.2975,212.79,
7,221,1.2775,282.3275,
8,323,1.607,519.061,
9,433,1.6055,695.1815,
10,578,1.609,930.002,
11,958,2.0435,1957.673,
12,1610,2.049,3298.89,
13,2410,2.0335,4900.735,
14,4250,2.52,10710,
15,8140,2.5535,20785.49,
16,14900,2.4845,37019.05,
17,16000,3.478,55648,
18,17000,3.4525,58692.5,
19,18500,5.0635,91323.5,enhanceStone 28.0
20,20000,7.322,141851.5,enhanceStone 60.5
21,20700,8.4015,168536.7,enhanceStone 87.0
22,21400,12.514,247134.18,enhanceStone 57.1 highEnhanceStone 55.5
23,22200,17.676,355749.98,enhanceStone 49.0 highEnhanceStone 130.8
24,23000,23.3725,476373.68,enhanceStone 53.3 highEnhanceStone 210.6
25,23800,29.995,620284.985,enhanceStone 62.2 highEnhanceStone 308.8
26,24600,32.6255,687642.185,enhanceStone 58.8 highEnhanceStone 390.7
27,25500,47.0975,1005027.64,enhanceStone 84.0 highEnhanceStone 614.3
28,26400,58.253,1259867.375,enhanceStone 106.8 highEnhanceStone 810.3
29,27300,101.265,2203793.585,enhanceStone 184.7 highEnhanceStone 1458.4
