bucket_end,casual,normal,top
1000,53.90890016083704,36.21798704935257,9.632940920222177
2000,54.959995332667575,39.553933443161384,10.219417309904161
3000,61.058935160105804,39.46976229416468,14.257881956595984
4000,82.35726766942027,39.8578047218571,17.379996193673332
5000,138.87090907167078,42.71205305183135,21.355045940982947
6000,247.6259107739924,69.64148802960906,23.651598760969662
7000,402.42491194341045,112.48179736354136,34.49466814742304
8000,594.9328515080465,165.29184425355808,50.942153293236444
9000,811.0753690385664,225.3113356891783,69.68518919764051
10000,1022.6223240030505,287.81839410504534,89.97649040818597
11000,1153.5409152417233,323.95173982510653,101.75925489413558
12000,1167.9513923646132,326.4448857434702,101.75072595556952
13000,1173.565699375162,327.09011865753706,103.46239749463392
14000,1182.0273132310415,332.36835315469676,104.19531692640338
15000,1195.957814247899,334.01300327219224,105.13794498044389
16000,1199.7155164082037,335.8889067931323,106.07294450491136
17000,1214.2673238578273,339.297967583668,106.4849391244229
18000,1249.0099045528782,349.3142841094779,109.92575615051565
19000,1313.6826623800148,367.27597287941467,115.3264336602188
20000,1378.5363508202963,383.4272868413137,121.72986029759333
21000,1449.9609537213812,268.7241015243577,126.49362418191843
22000,1521.4721677908549,285.2715368796699,133.63348257560025
23000,,298.65657075724044,140.2347069717258
24000,,311.3111180381063,147.56556460343094
25000,,325.2629985789344,154.85605280990478
26000,,342.2121712636306,162.9492915023558
